dataset_size,num_workers,n_estimators,runs,train_mean_s,train_ci95_s,predict_mean_s,predict_ci95_s
10k,1,100,10,14.166933,0.430845,1.636465,0.094455
10k,2,100,10,5.227652,1.010439,1.229020,0.250211
10k,4,100,10,3.714397,0.231406,0.750372,0.043570
10k,8,100,10,2.737002,0.955535,0.493396,0.070639
20k,1,100,10,21.828212,1.333055,1.531657,0.093076
20k,2,100,10,5.473770,0.287831,0.881052,0.106540
20k,4,100,10,5.003525,0.463520,0.597216,0.049215
20k,8,100,10,3.058596,0.126442,0.403998,0.021108
50k,1,100,10,34.883097,3.580444,1.659651,0.058883
50k,2,100,10,17.327348,0.490991,0.887150,0.045810
50k,4,100,10,10.731363,1.802628,0.627061,0.074473
50k,8,100,10,8.022247,1.071429,0.711369,0.619364
