dataset_size,num_workers,run,train_s,predict_s
10k,1,0,13.946366,1.533696
10k,1,1,14.300266,1.852613
10k,1,2,14.954296,1.856446
10k,1,3,15.497963,1.609624
10k,1,4,13.998388,1.670677
10k,1,5,13.773896,1.701992
10k,1,6,13.859674,1.501472
10k,1,7,13.886514,1.556252
10k,1,8,13.550129,1.573685
10k,1,9,13.901837,1.508191
20k,1,0,24.732840,1.517699
20k,1,1,20.109094,1.398877
20k,1,2,20.224986,1.440492
20k,1,3,20.742297,1.442092
20k,1,4,21.134997,1.776841
20k,1,5,22.298361,1.544801
20k,1,6,21.096025,1.458381
20k,1,7,20.591665,1.471656
20k,1,8,25.480991,1.513572
20k,1,9,21.870860,1.752154
