dataset_size,num_workers,n_estimators,runs,train_mean_s,train_ci95_s,predict_mean_s,predict_ci95_s
10k,1,100,10,18.535447,0.931135,5.411708,0.173042
10k,2,100,10,13.271997,3.287859,3.669757,0.929492
10k,4,100,10,7.698692,1.047118,2.228308,0.248832
10k,8,100,10,3.404906,0.398263,0.974414,0.033335
20k,1,100,10,25.953679,0.703407,5.324801,0.371601
20k,2,100,10,13.301792,0.666335,2.722298,0.146437
20k,4,100,10,7.489295,0.787937,1.633694,0.171306
20k,8,100,10,4.352065,0.500250,1.080680,0.196995
50k,1,100,10,54.786386,0.655698,6.790287,0.365456
50k,2,100,10,27.876207,0.491977,2.991416,0.203657
50k,4,100,10,14.259323,0.389205,1.655171,0.119731
50k,8,100,10,7.606877,0.290882,1.053862,0.180242
