dataset_size,num_workers,run,train_s,predict_s
10k,1,0,21.352724,5.149805
10k,1,1,20.257807,5.399367
10k,1,2,18.073800,5.210978
10k,1,3,17.941238,5.904344
10k,1,4,17.676436,5.298792
10k,1,5,17.620166,5.682377
10k,1,6,18.556795,5.476665
10k,1,7,17.356112,5.252786
10k,1,8,18.833960,5.538446
10k,1,9,17.685434,5.203519
10k,2,0,18.403866,5.408354
10k,2,1,16.983460,5.119286
10k,2,2,17.269584,5.147325
10k,2,3,18.266053,5.012491
10k,2,4,17.095072,2.810000
10k,2,5,8.553917,2.627003
10k,2,6,9.576446,2.794134
10k,2,7,8.707480,2.573764
10k,2,8,9.085734,2.523463
10k,2,9,8.778355,2.681747
10k,4,0,9.210290,2.807425
10k,4,1,9.102895,2.648578
10k,4,2,9.147154,2.630598
10k,4,3,9.985234,2.306607
10k,4,4,6.871904,2.083014
10k,4,5,6.441564,1.863480
10k,4,6,6.737470,1.878942
10k,4,7,6.397133,1.977055
10k,4,8,6.260133,2.016979
10k,4,9,6.833148,2.070407
10k,8,0,4.821782,1.004391
10k,8,1,3.349886,1.035456
10k,8,2,3.253850,1.001725
10k,8,3,3.483365,0.939953
10k,8,4,3.445007,0.988336
10k,8,5,3.526378,1.024512
10k,8,6,3.429515,0.900711
10k,8,7,2.846793,0.956385
10k,8,8,2.966559,0.907947
10k,8,9,2.925921,0.984725
20k,1,0,25.319350,6.718902
20k,1,1,25.487325,5.228594
20k,1,2,26.445429,5.009363
20k,1,3,25.768566,5.369488
20k,1,4,28.389397,5.047648
20k,1,5,25.063567,4.917099
20k,1,6,26.543593,5.507510
20k,1,7,25.535226,5.188710
20k,1,8,25.748848,5.087106
20k,1,9,25.235487,5.173593
20k,2,0,12.561234,2.515530
20k,2,1,13.241427,2.536989
20k,2,2,12.762661,2.552428
20k,2,3,12.619209,2.609001
20k,2,4,15.108204,3.079954
20k,2,5,12.843875,2.697891
20k,2,6,12.853102,2.644972
20k,2,7,12.737457,2.893744
20k,2,8,14.881661,2.667709
20k,2,9,13.409094,3.024762
20k,4,0,9.342929,1.978958
20k,4,1,9.074932,2.057968
20k,4,2,6.776056,1.800190
20k,4,3,7.063985,1.427523
20k,4,4,6.989335,1.675349
20k,4,5,8.766044,1.408576
20k,4,6,6.662950,1.434256
20k,4,7,6.611784,1.434222
20k,4,8,6.839458,1.516293
20k,4,9,6.765478,1.603601
20k,8,0,6.202791,1.493857
20k,8,1,4.564968,0.905182
20k,8,2,4.248922,0.911498
20k,8,3,4.115872,1.152675
20k,8,4,4.288217,1.056281
20k,8,5,4.078519,1.037793
20k,8,6,4.298788,0.891200
20k,8,7,4.253427,0.920477
20k,8,8,3.663159,0.803607
20k,8,9,3.805986,1.634226
50k,1,0,55.550411,6.292926
50k,1,1,54.743800,6.496548
50k,1,2,55.852818,7.949682
50k,1,3,53.481532,7.447289
50k,1,4,55.373496,6.595577
50k,1,5,53.891467,6.804784
50k,1,6,53.778317,6.584940
50k,1,7,55.678280,6.683752
50k,1,8,55.524003,6.576747
50k,1,9,53.989741,6.470627
50k,2,0,27.883269,3.401881
50k,2,1,28.061370,2.873080
50k,2,2,27.658716,2.703072
50k,2,3,27.324441,2.843232
50k,2,4,27.920988,3.172077
50k,2,5,26.869200,3.539107
50k,2,6,28.370385,2.832251
50k,2,7,28.011932,2.735414
50k,2,8,29.374576,2.861476
50k,2,9,27.287196,2.952568
50k,4,0,14.058071,1.998064
50k,4,1,14.019048,1.897492
50k,4,2,14.126835,1.468838
50k,4,3,14.241743,1.612746
50k,4,4,15.637053,1.637160
50k,4,5,13.854718,1.491358
50k,4,6,13.884328,1.656563
50k,4,7,13.992543,1.618551
50k,4,8,14.736230,1.608766
50k,4,9,14.042659,1.562168
50k,8,0,7.717902,0.875761
50k,8,1,7.504233,0.848890
50k,8,2,7.329122,0.842467
50k,8,3,7.121018,1.110849
50k,8,4,7.422688,0.943990
50k,8,5,7.526716,1.434705
50k,8,6,7.974077,1.566793
50k,8,7,7.720013,0.928010
50k,8,8,7.236718,0.937144
50k,8,9,8.516285,1.050015
